id,Source,Target,weight
"371,""      ZAD001"",""ZA6"",16"
"372,""      ZAD002"",""   "",2"
"373,""      ZAD002"",""ZA1"",38"
"374,""      ZAD002"",""ZA2"",54"
"375,""      ZAD002"",""ZA3"",15"
"376,""      ZAD002"",""ZA4"",239"
"377,""      ZAD002"",""ZA6"",17"
"378,""      ZAD005"",""   "",5"
"379,""      ZAD005"",""ZA1"",3945"
"380,""      ZAD005"",""ZA2"",1135"
"381,""      ZAD005"",""ZA3"",232"
"382,""      ZAD005"",""ZA4"",5496"
"383,""      ZAD005"",""ZA6"",233"
"384,""      ZAD006"",""ZA1"",267"
"385,""      ZAD006"",""ZA2"",45"
"386,""      ZAD006"",""ZA3"",30"
"387,""      ZAD006"",""ZA4"",350"
"388,""      ZAD006"",""ZA6"",3"
"389,""      ZAD007"",""ZA1"",53"
"390,""      ZAD007"",""ZA2"",9"
"391,""      ZAD007"",""ZA4"",6"
"392,""      ZAD007"",""ZA6"",4"
"393,""      ZAD008"",""ZA1"",217"
"394,""      ZAD008"",""ZA2"",1"
"395,""      ZAD008"",""ZA4"",17"
"396,""      ZAD008"",""ZA6"",4"
"397,""      ZAD009"",""ZA1"",18"
"398,""      ZAD009"",""ZA2"",44"
"399,""      ZAD009"",""ZA4"",9"
"400,""      ZAD009"",""ZA6"",60"
